SN,Tray_SN,POD_Rack_Slot,FOX_Routing,Error_Code,GPU,Nvlink,Lane,NVL0_SN,NVL1_SN,PN,Diag,StartTestTime,EndTestTime,log_file_name
1651326022399,P3952-L1000000007410,FXHC-POD4-R24-T7L,FUNCTIONAL_TEST,9843J5_559,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326002550,20260326002610,FXHC_--pbr=NA_PG548_NA_F_FCT_20260326T002550Z.log
1651326022368,P3952-R1000000007410,FXHC-POD4-R24-T7R,FUNCTIONAL_TEST,9843J5_559,,,,,,900-2G548-0081-000,618-2G548-0301-CMF-51683,20260326002851,20260326002913,FXHC_--pbr=NA_PG548_NA_F_FCT_20260326T002851Z.log
1651126047458,P3952-R1000000006394,FXHC-POD3-R47-T9R,AST,0,,,,,,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260325234430,20260326002945,FXHC_NA_900-2G548-0001-000_1651126047458_F_AST_20260325T234435Z.log
1651126049416,P3952-L1000000000082,FXHC-POD3-R20-T6L,IOT,E033030006_082-000-1-000000000272,,,,1823525954569,1823525954463,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260325232104,20260326000644,FXHC_NA_900-2G548-0001-000_1651126049416_F_IOT_20260325T232112Z.log
1651126049416,P3952-L1000000000082,FXHC-POD3-R20-T6L,IOT,E033030006_017-000-0-000000000009,,,,1823525954569,1823525954463,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260326000809,20260326003858,FXHC_NA_900-2G548-0001-000_1651126049416_F_IOT_20260326T000817Z.log
1651126049457,P3952-R1000000007921,FXHC-POD3-R47-T3R,FUNCTIONAL_TEST,E028163006_082-000-1-020000254140,,,,1823525955688,1662825110121,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260325231421,20260326001343,FXHC_NA_900-2G548-0001-000_1651126049457_F_FCT_20260325T231425Z.log
1651126052429,P3952-L1000000005946,FXHC-POD4-R32-T4L,FUNCTIONAL_TEST,E028163006_029-054-0-000000000011,,,,1820126953058,1333925080087,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260325225556,20260326000543,FXHC_NA_900-2G548-0001-000_1651126052429_F_FCT_20260325T225601Z.log
1651126052429,P3952-L1000000005946,FXHC-POD4-R32-T4L,FUNCTIONAL_TEST,E028163006_029-054-0-000000000011,,,,1820126953058,1333925080087,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260326000654,20260326005303,FXHC_NA_900-2G548-0001-000_1651126052429_F_FCT_20260326T000659Z.log
1651126052567,P3952-L1000000000994,FXHC-POD3-R17-T1L,IOT,E033030006_017-000-0-000000000001,,,,1820126952395,1662525110037,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260325230051,20260326003447,FXHC_NA_900-2G548-0001-000_1651126052567_F_IOT_20260325T230100Z.log
1651126054084,P3952-R1000000000014,FXHC-POD4-R26-T6R,FUNCTIONAL_TEST,E028163006_077-000-1-000000000077,,,,1820126953445,1820126953222,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260325232357,20260326001544,FXHC_NA_900-2G548-0001-000_1651126054084_F_FCT_20260325T232402Z.log
1651226064955,P3952-R1000000006620,FXHC-POD2-R37-T9R,NVLINK,E098011006_009-001-1-020000254140,,,,1824825955121,1333725330385,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260325235122,20260326001923,FXHC_NA_900-2G548-0001-000_1651226064955_F_NVL_20260325T235131Z.log
1651226064963,P3952-R1000000000994,FXHC-POD3-R17-T1R,IOT,E033030006_051-000-0-000000000050,,,,1820126954006,1662525110037,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260325230053,20260326002958,FXHC_NA_900-2G548-0001-000_1651226064963_F_IOT_20260325T230101Z.log
1651226065462,P3952-L1000000005107,FXHC-POD3-R49-T4L,FUNCTIONAL_TEST,E028001037_770,,,,,,900-2G548-0001-000,618-2G548-1201-CMF-51846,20260326003825,20260326005216,FXHC_NA_900-2G548-0001-000_1651226065462_F_FCT_20260326T003830Z.log
1650225028222,P3952-L1000000007402,FXHC-POD3-R16-T3L,IOT,E033027006_585,,,,1820126954249,1662925110689,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325234157,20260326001223,FXHC_NA_900-2G548-0001-0R0_1650225028222_F_IOT_20260325T234206Z.log
1650225031238,P3952-R1000000007017,FXHC-POD4-R32-T3R,IOT,E033030006_000-000-1-000000140002,,,,1820126952207,1662925110077,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325225522,20260326000725,FXHC_NA_900-2G548-0001-0R0_1650225031238_F_IOT_20260325T225527Z.log
1650225032062,P3952-R1000000007814,FXHC-POD2-R16-T1R,FUNCTIONAL_TEST,E028163006_082-000-1-020000281281,,,,1823525954338,1662825110274,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325232747,20260326000842,FXHC_NA_900-2G548-0001-0R0_1650225032062_F_FCT_20260325T232756Z.log
1650225112216,P3952-R1000000005857,FXHC-POD3-R50-T5R,IOT,E033027006_585,,,,1823825958380,1662125110390,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325234105,20260326001145,FXHC_NA_900-2G548-0001-0R0_1650225112216_F_IOT_20260325T234109Z.log
1650325015773,P3952-R1000000000671,FXHC-POD3-R13-T1R,IOT,E033030006_017-000-0-000000000001,,,,1820126953801,1662425110415,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325224643,20260326001934,FXHC_NA_900-2G548-0001-0R0_1650325015773_F_IOT_20260325T224651Z.log
1650325062581,P3952-R1000000000125,FXHC-POD4-R27-T9R,IOT,E033027006_585,,,,1820126953595,1820126953589,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325235945,20260326003033,FXHC_NA_900-2G548-0001-0R0_1650325062581_F_IOT_20260325T235949Z.log
1650425036704,P3952-L1000000005004,FXHC-POD4-R26-T9L,FUNCTIONAL_TEST,E028163006_077-000-1-000000000077,,,,1820126953006,1333925080663,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325232118,20260326001316,FXHC_NA_900-2G548-0001-0R0_1650425036704_F_FCT_20260325T232123Z.log
1650425068447,P3952-R1000000007059,FXHC-POD2-R04-T7R,IOT,E033030006_000-000-1-000000140002,,,,1823325957940,1943325110922,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325230428,20260326000216,FXHC_NA_900-2G548-0001-0R0_1650425068447_F_IOT_20260325T230437Z.log
1650825075844,P3952-L1000000006300,FXHC-POD2-R12-T5L,IOT,E033027006_585,,,,1823825956054,1823825956053,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260326000007,20260326003045,FXHC_NA_900-2G548-0001-0R0_1650825075844_F_IOT_20260326T000016Z.log
1650925055901,P3952-L1000000007017,FXHC-POD4-R32-T3L,IOT,E033027006_585,,,,1820126953304,1662925110077,900-2G548-0001-0R0,618-2G548-1201-CMF-51846,20260325234744,20260326001843,FXHC_NA_900-2G548-0001-0R0_1650925055901_F_IOT_20260325T234748Z.log
